label,text
0,this is good unit nice bass good sound but had jbl charge three and do not like that cannot use the same charging wire for the amount of money that you charge for the gpo charge for it should come with its own charge wire should not have to go online and purchase charge wire separately or double usb cord let down
0,this is pretty decent set for the price 
1,bose who why spend so much money on bose or these other brands was bose fan for most my life all my vehicles and sound systems in all my vehicles added the bose sound package the only speaker actually believe puts out better and louder sound quality for less than half the price let alone the battery life and the charging abilities over hrs of battery life and includes power back built in to hook up your cell phone or even alexa to play your tunes best speaker for the price would have spent even more on it 
1,great mouse use it for everything from gaming to normal use recommend it
0,x
1,i had to replace my mouse and decided to try this mouse out since it had lot of reviews it works great the mouse looks good and has sleek design the led lights are fun touch and the dpi feature is nice to have had zero issues connecting the mouse to my macbook wirelessly to with the usb port what did notice was my hand started to feel uncomfortable with only an hour of use coming from mouse that had an arch in the design this mouse was little flatter than that another are the clicks and scrolls it definitely is not quiet when it comes to clicking and scrolling it not loud like compared to regular mice but it is louder than my previous quiet mouse did end up returning the mouse but would still recommend this to those who like this mouse design it still great mouse overall 
1,these are so amazing gaming headphones love them cant hear any noise this product is great
1,this headset is very comfortable with good sound and mic got the purple for myself and the pink one for my daughter and they are both very pretty and work great 
1,sounds great and charge lasts longer than other speakers ve owned awesome has built in phone charger as well
1,i ve been using this speaker for couple of months now and the sound quality is awesome really recommend it 
0,it states that it has usbc converter but it does not work
1,great quality sound bluetooth connectivity is immediate without any delay or problems will us the speaker for few days before need to plug it in 
0,no charger included wow that something sound is ok not sure if should keep it or return it ll give couple of days will try charge for decision
0,started off great but the charge stopped working couldn tell if it needing charging one day it didn turn on left it to charge while it was off and on hours each way and it still wouldn hold charge or turn on battery ended up exploding and started leaking acid overall horrible product
1,love everything about it 
0,doesn charge fast the scroll broke within days the mouse completely stopped working after few weeks it constantly would stick 
1,this mouse works great and love that it rechargeable just plug it in to my laptop for couple hours and we re good to go 
1,love this it feels like an extension of my hand 
0,good
1,works as expected very comfortable sound quality is good great price
1, update this mouse is garbage wrote my review after one day of good functionality but the rechargeable battery seems to only last one day before it starts being jerky and responding inconsistently buttons don always work when click something if take out the usb and turn on off the mouse it fixes it for few minutes until it goes into sleep mode the first one they sent me didn work at all and this new one just doesn work it works better if the mouse is plugged in but the cord is short and stiff ordering something else the mouse works great for my dell laptop fits comfortably sleek profile no problems the button is still audible but quieter than my last mouse had an issue with my first shipment but customer service was very responsive problem solved with me and then shipped me new mouse very quickly 
0, update after using the mouse for around days it just completely stopped working the lights come on and it appears to charge but the buttons no longer work and the optical lens doesn pick up any movement don even bother with this it trash not very reliable mouse after just couple days of use it stops working intermittently which is frustrating wouldn purchase again that said it is very quiet mouse with no audible click and it good size 
1,i was so happy with this mouse when first got it very comfortable loved the light and most of all the wireless feature the love affair however was short lived after using the mouse for only months it stopped working would charge it it would run for minutes then dead again it got to the point that the only way the mouse would work is if kept it plugged therefore defeating the wireless feature 
1,this mouse works well for my needs and fits in my medium sized hands well this is the first mouse ve ever owned with built in rechargeable battery and now don ever want to own one without it the small form factor is also nice for packing up and taking on the go another nicely designed element is that the nano receiver tucks into the bottom of the mouse and doesn require prying off cover or any extra effort to remove or insert 
1,great sound for unit size bluetooth connectivity is flawless 
1,keys don always work right love the lighting effect though
0,have used this mouse for more than month now the cursor jumps around unreliably on the screen making it difficult to navigate battery life is not very long before needs recharging feels very cheaply made in hand do not recommend 
1,really loved the led lights and the noise cancelling awesome
1,i do like the pretty lights and how you can easily use this keyboard in dark room otoh those pretty lights burn the batteries quite quickly so it isn really wireless keyboard it best to keep it plugged in and charging most of the time but that true of basically all wireless lighted keyboards the big problem had was that it just never got along with my computer mac running big sur several times day would have to unplug the wireless dongle shut off the keyboard and then plug in and power up again even then sometimes had to restart the computer after week or so of that gave up and returned the keyboard 
0,it not what expected but it work
1,this product is really good for gaming and the sound quality is so good really like the volume button too 
0,initially charged this mouse overnight and then used it for two eight hour days turning it off overnight couple hours into using it on day it died charged it for several hours and it has no juice and won even turn on would think after couple hours of charging it would at least turn on 
0,good mouse foe every day use
1,bought these for my son for when he playing games on the pc they are comfortable have great sound and simple to set up on windows pc great value and great product 
1,ergonomic would also like to have full size for desktop use multi color led adds nice decorative touch mouse wakes up from sleep mode with first click 
0,this mic is great for gaming but bad for chatting
1,son loves the headset great price 
0,haven tried it yet but looks accurate
0,this product is slim and doesn fail easy click though and lights up charge lasts few day
0,don buy this you have to charge it every day you might as well have mouse with cord because that what it ends up being it does not take battery and hass to be charged all the time 
0,didn like the way the package showed up though it came in the original headphone box so anyone could see it it was also crushed glad the headphones weren damaged 
0,the poor reviews are sometimes exaggerated but the one read is correct my hearing isn what it used to be when waa younger listened to some very wonderful equipment owned by me and some friends my experience includes used to playing the saxophone and other musical instruments can recognize when music and or voices are not in tune have even been accused of perfect pitch with that said can say that the charge is horrible reproducer of sound own four jbl flip speakers and they do great job for their size however the charge has sound profile of loud but muddied bass hollow sounding mids and really poor attempt at the highs tinny sounding like listening to an old am only transistor radio the flip is so much better especially in pairs owning allows me to have two fully charged until the other pair is discharged bought single charge for an anticipated abusive future will be moving soon and as put things in storage and load trucks and trailers wanted something that if damaged it wouldn break up my set of four thought the other reviewer may have received lemon ithought there is no possible way jbl would send out mono speaker especially if the sound is not centered the sound is centered about two inches from center it is very annoying to me outside moving my belongings would be make this design flaw less noticible to imperceptible will return this and get something else 
1,i am casual gamer this seems to be good product for the price 
1,very happy and true to its description 
0,the quality is worth the product 
0,sound is true stereo
1,this keyboard looks good on my desk and is very good for coding 
0,stopped working completely after couple months won charge useless 
0,great for about day then broke stopped working all together beware of these headphones
1,this mouse feels great in your hands you don have to worry about it being difficult to click or scroll as the placement of the buttons are all easy to use and find it also really does light up in different colors it also has setting where you can turn off the light and still use the mouse it is rechargeable through usb and the battery seems to last while overall pretty good 
1,so far very pleased with this product it connected with my laptop automatically with no problems the slim line design slips into my laptop case outer pocket very nicely and there seems to be no issues with charging it from computer port 
1,works perfectly for what needed 
0,the wheel breaks easily
0,i have been able to use this product since aug and then out of the blue the roller wheel stopped working like it disconnected from the internal workings and now wont scroll this is very disappointing 
1,what liked about the headphones is they are good for my games if there is bass or low tones the headphones feel like they shake bit however the headphones are only ok when cancelling noise can still hear some vehicles drive by outside it is my own fault for not reading the description carefully but what do not like about the headphones is that they need usb attachment and you have to plug it in for the lights the usb thats attached to it as cord is really short but over all like them
0,never could get it to work cannot adequately review it 
1,feels like you can turn it up loud enough for some games could be decibel limiter the bass is usually overpowered but not terrible product treble is good quality but bit on the quiet side 
1,it super quiet have it plugged in through hub adapter to google slate tablet and it worked immediately no issues at all lights up and color changes which is just cool add on feature no complaints here very portable 
1,it for gaming with cool lighting my son loves it 
1,great sound
0,it was decent while it lasted but died on me one month after the warranty expired so very disappointed in this product would definitely not recommend it 
1,if you re looking for portable speaker for casual outings or at home say this is great purchase if you re someone like me who works in the kitchen from hours this speaker probably isn worth it with it battery life kinda expected it but didn even have it on max and it ran out on my th hour which was actually almost over an hour off from my other speaker still had pretty large for something that looks like it would have longer charge but that kinda my only gripe at least it sounds nice 
0,product came in as promised and it worked perfect can wait for my pc to come in and try these bad boys out 
1,it was gift for my year old daughter she loves it takes it to the beach and have to keep telling her to turn it down lol 
1,my daughter loves them would highly recommend shipping is fast 
1,this is exactly what needed and love the lighted keyboard great value and shout out to the amazon delivery people who are careful to place packages safely on my porch out of the weather superior service 
1,where has this been all my life talk about making my typing on the tv from my ps way more accurate and fast what great keyboard easy to charge charges quickly and the colors are lovely and bright 
1,i love this keyboard works great with my xbox one happy to see usb type charging port in it this is my first klim purchase but after seeing the quality of this keyboard and reading the note that came with it it definitely not going to be the last 
1,update seller has contacted me asking me to remove my review and attempting to bribe me with money to do so expected this as several other comments say they too received the same bribery they even went as far as sending me here how to remove link purchased this as an upcoming christmas gift for my sister as it was similar to one she wanted that is not available right now the box for the mouse is mostly in another language and paired with the price that prompted me to test it before wrapping it up and giving it to her come the holiday let me just say am glad that did while the mouse powered on and worked fine with the usb dongle that it requires be plugged in to use decided to test it other feature of being able to charge it while using it everything worked fine until unplugged it once unplugged the micro usb cable from the mouse my entire pc turned off thought maybe it was just fluke so tested it again nothing happened the second time so plugged it back in for little bit to make sure it had full charge on it for her and when unplugged it to re package it it happened again as to say am now running virus detecting software to err on the side of caution and this product is getting returned as defective moral of the store don buy cheap products 
1,i guess did not realize that this was only rechargeable and did not take batteries but my daughter loves it 
1,it works perfectly 
1,love the sound quality and ease of use 
0,i am not great typist this keyboard has terrible problem keeping up with the typist have used it several times for word processing and spreadsheet applications on my pc because look at the keyboard when type find out after minute or so of typing look up and find over third of what typed is full of missed letters entire words are missing parts of words are run together the keyboard just doesn register all of my keystrokes have even tried slowing down and being even more deliberate about my touches on the keystrokes same result sending this back for sure 
0,box and packaging was great no physical damage to the head set but it doesn work took it out of the box to plug in and use and never even small noise was able to be heard smh they literally sold me broken product as if it was new and in perfect condition
1,lasted about months we bought cheap headset knowing they wouldn last long my son is hard in headsets so at this point it better to order cheap and replace often instead of really expensive ones that still don last good quality for the value
1,jbl speakers are the best bought this speaker as gift and own one too 
1, oh my god this was everything was looking for bought mouse and keyboard for my phone because wanted to type my essays on my phone when don have computer and this mouse works on my phone yay and it my favorite color
1,i ve been using mechanical boards for while and randomly used non mechanical one that found in my closet and realized like it way more so went to amazon to find better quality non mechanical board and found the corsair which was but then saw this board for only so tried this one out no complains whatsoever yet typing feels great fast response time very lightweight and wireless has been flawless update been using this now for years still has no issues and works great
0,i been using for almost month now spilled water and it said water proof but when press key multiple and wrong letter types try to fix it by dissembling but was not able to fix it it is not water proof so careful 
1,stops working week after buying do not waste your money mine won stay connected to my computer constantly having to reconnect it
1,i love it 
0,purchased to of these for myself and wife for the price can complain had them for few months as of now still operating fine
0,this mouse is terrible bought it for work its not like needed anything super advanced just something that would give me little more space than the touchpad this mouse skips when you move it and if you want to click something you have to hit the button or times it also very uncomfortable in the hand 
0,the sound is horrible wish could return it 
0,the dongle was so hard to get out that when did pry it free from the tape it shot across the room never to be seen again now have piece of plastic can charge and need to order working keyboard 
0,very fragile when dropped 
0,excelente producto
0,sound quality not as good as what was expecting and battery life not as long as advertised
1,works well special features are fun
1,its awesome im able to talk better and hear better
0,first hours of having it couldn get it to charge and isnt usable while on the charging cord completely useless do not buy this cheap junk if there was zero stars button it would be ticked 
0,came broke out of box sound quality good but mic function
0,was little squirrely to use
1,great mouse use it for everything from gaming to normal use recommend it
1,they re little small but confortable to wear the sound quality and noise cancelation is great 
1,i liked using this mouse but it needed charged lot more than anticipated it looks good and worked good but overall was little too cheaply made and it didn last long it fell thanks to my small children and cracked right open only got to use it couple of months 
1,it comes clean mine is dirty because eat while doing homework glows perfectly and comes with charger and plug in for your computer 
0,this was pretty frustrating to use it kept shutting off and the tracking was pretty awful ended up throwing it away after about two weeks worth of use 
1,extremely comfortable works great looks gorgeous and is rechargeable charges quickly and easily and the battery lasts long time 
1,so far it works great
1,perfect portable speaker for your back yard going on trips the sound is great 
0,it quit working after days and they wouldn take it back or refund 
0,seemed to work okay for the minute used the mouse for my security camera nvr system but it had scratches around both sides looked to be an obvious return actually my first from amazon because the power cord looked to have been used also will be returning because when buy new expect new 
1,good looking and works great love the changing lights 
0,works great can think of anything negative to say 
1,stopped working after few days of use on brand new laptop will turn on but does not function properly lags however great the first few days 
1,the mouse is slim and lightweight love the way that the inbuilt led light in the mouse changes its colors it is very easy to install the mouse on the laptop the day bought the mouse have been using it without charging the battery for days after surfing the mouse on amazon thought found the right mouse for my computer 
1,i am really happy with the purchase of this mouse had been looking for good mouse that cheap and wireless this is the best fit am able to carry this everywhere and has long lasting battery also the range of the bluetooth is really good because was able to control my computer while was another room
1,i liked that the sound quality was great for the price it comfortable although haven worn for more than an hour but sure it will still be comfortable only drawback is the version got had the usb and six cable too short to separate can only plug in one or the other usb is used to light up and six is for the sound so either get lights or sound but not together unless hookup to power bank 
1,very good headset for cheap price very glad bought this if you re hesitant bc of the price buy it 
0,to slow don buy
0,i threw these away becuase lights dont work mic does not work and the sound does not work only good thing is noise cancelation when you put them on these are terrible 
1,i have to charge this mouse way more than expected especially since use it for work won buy this again otherwise seems to work fine besides sometimes jumping from where have the pointer on the screen to whole other area casual usage this may be fine for you
0,no echo 
1,the mouse is amazing you can pick out diff colors and love how it glows rainbow greatest purchase ever 
1,wonderful sound with low full bass and the battery lasts forever lights indicate when it gets low bluetooth connection strong snd not glitchy would be nice if it had microphone to use for calls but not needed 
0,i purchased this item in august the usb plug completely fell apart and can no longer use the mouse 
0,incredible quality
1,sounds great in rooms with punchy bass and crisp highs
1,great for ps 
0,the mouse stopped working after one week got no response from their customer service 
0,the charging port is terribly built only worked for month
1,beautiful lights quiet and works well
0,didn work when first bought it and did even bother with the refund don waste your time go to best buy 
0,i do like the mouse but the usb connector does not go all the way in to my macbook which is frustrating 
1,i recommend everyone for this speaker lucky to have it 
1,very cheaply made it was the biggest waste of my money the piece that plugs into the usb port broke in weeks time as was taking it out of the port it can be glued back together but it would have to be done with precision and carefulness not to get glue all over it dont know that its worth it guess this is one of those things that its just better off going with the brand you trust and paying that little bit extra for something you know is not going to come apart because it was poorly constructed it was pretty cool how it lights up it is very lightweight as well which will leave that to your own interpretation 
1,great product easy to use amazing sound 
1,perfect but would like to see how much battery life have left
1,i got this as gift and the mic is super sensitive love it great quality kinda wish could turn off the lights sometimes they re super bright
0,i loved this mouse it was slick and easy to use however it was not once used on regular basis only used it may hour max each day the charge did not hold and here am less than year in and it no longer holds charge tried to return but not accepted 
1,in my opinion if you dive too deep into youtube reviews regarding decibel comparisons etc etc you ll never end up buying any speaker keeping it simple can tell you this is an awesome portable speaker for it price range take it to the community pool bbq outdoor family events and it perfect long lasting battery good bluetooth connectivity and packs pretty good punch in both volume and bass would maybe consider the larger jbl xtreme if it goes on sale but in all honesty this charge is perfect for what use it for portability to me is more important that little higher volume and bass love the speaker well done jbl 
1,i like the sound quality lot and great bass my only complaint is the bulkiness of the headphones sadly you can change the color of the led lights you can only move the mic up and down and not side to side don feel the noise cancellation though its better than expected for headphones 
0,it is easy to use
1,keyboard was for dual purpose but one was to use for my office computer keys are nice and quiet but very responsive nice looking obnoxious glow adds little flare to my work station 
1, great mouse fits my hand easy to use
1,i like the design love it
0,just stopped working after weeks
0,i had used one of these in my place of work while back and just wanted one for home the only complaint have is mostly that due to the layout of my apartment sometimes it just kinda jumps little depending where my phone is 
1,the sound quality is very good and it is easy hold and carry around think it is better to buy additional case to protect it and carry around more easily 
0,will not hook up to my laptop
1,i love this mouse it matches the decor in my home office perfectly 
0,it needs to be charged daily as use it all day at work do like the color changing light it brightens up my day 
0,edit the seller reached out and offered refund on the item if they follow through would delete the review microphone doesn work on smartphone tried with games karaoke and phone calls dead mic 
0,exactly what it says quite and convenient mouse 
1,good keyboard with nice easy touch keys 
1,i like how the headset feels comfortable usually after hour of game play my ears start to hurt not with the new ones highly recommend would like to add the great customer service too 
0,cheap broke after months
1,so far so good looks cool and feels good would buy again
1,i love that can charge it and not have to keep going through batteries its better than the last mouse had will upgrade my keyboard when it goes out 
1,i bought this keyboard for my son and he loves it it lights up when he is using it and the lights go off when he isn the keyboard is quiet and it isn too big really good buy 
0,hopefully they will do the right thing 
1,not sure what to say except that these are the best headphones ve ever owned good quality sound and comfort 
1,no one problem so far it works perfectly and the look is amazing
0,i don use for gaming
1,i not gamer however do enjoy the feel of this keyboard for typing and the backlighting is very cool 
1,awesome for gaming love it 
0,cheaply made usb port is so poorly made it does not fit in port which makes the mouse worthless for use with my surface mouse does not feel comfortable in hand just pass on this one 
0,i like how it is
0,product was defective 
0,dead in weeks
0,it for my laptop doing graphic design
1,great quality for the price noise cancelling is great and sound quality is awesome recommended 
0,the mouse has nice small design and like how it feels when you click but unfortunately the hardware is not high quality the charging port has stopped working 
0,the scroll wheel broke
1,the headphones were great they had excellent sound quality the microphone had few issues the audio it pur out was alittle disappointing but with few small adjustments was able to work properly would recommend to any game looking for affordable and good quality headset 
1,the mic broke off within year and they replaced the headphones without hesitation they were interested in how they could improve their product would definitely purchase again without worry as they stand by their products 
1,my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider 
0,i bought this before christmas for my husband and he started using it on christmas it is now february and the battery just now finally died he uses it every night and it took over months for the battery to die the sound is amazing and it connects perfectly 
1,this keyboard is the best keyboard ever owned my gaming have been better with it if you want own keyboard klim is the best 
0,the first two weeks of using this headset was great but something happened after putting it away and the quality is just poor and is cheaply made do not recommend 
1,i teacher so don want to be attached to my computer at the front the whole day this mouse keeps good charge allows me to walk around my class the whole time stays attached to me the colors just add bit of fun to it 
0,i loved this keyboard but after after maybe year of owning it it doesn hold charge and doesn worked when plugged in very bummed 
1,this is nice little mouse very quiet clicking and get lots of compliments on the changing color lights 
1,my kid loves it
0,if your buy it to play in the dark like did it is worthless put it back in the box use steering wheel and button box so don use key keyboard all the time but when need to have to turn light on to see what key to hit send it back if could and get one that stays lit until turn it off useless to me for playing in the dark 
1,i like that this mouse is rechargeable feels weird in my hand and doesn move as fast as expect
0,the cord broke off within three months now can return them 
0,this piece of junk must have program to discontinue working days after the return date you put on it of march battery will not hold charge guess will go back to buying from costco they give days return on electronics
1,i ordered to use in my office at work it not too loud and love the lights 
0,arrived quickly and damaged my kid loves them so far
1,i bought this for our wrestling room which is very large and this just isn quite big enough for that do however like the sound and feel it is very good speaker just know that it isn for large area 
0,i ve had them minutes haven even plugged them in yet but they are very comfortable think it odd that the extension part above each ear only slides in and out just tiny bit would have thought quality headphones would give you more room for adjustment just thought 
0,like that when not in use
1,i used this keyboard for regular day to day use and gaming first the left shift key failed after few months okay thought got another shift key couple of months later the top number one key failed okay thought again got number pad just no more exclamation points fine can yell at people anymore then the key failed now know this is dumb but seriously my response was fine ill use copy paste for the so go to google and fine to copy ctrl then got to type and use paste ctrl son of please don waste your money here get better keyboard for few more dollars from better manufacturer you deserve better also just like to say vvvvvvvvvvvv 
0,as much as want to give more stars for this product the fact that it is way too heavy on my head and gives me headaches is too big of an issue if the weight of the headset doesn bother you then definitely this is solid product but ve never felt so much weight from headset it kind of concerning that this is also gaming headset because the amount of time people will use it for gaming it can probably cause pain to your neck back in the long run would suggest looking for other products even if this product has lot of good reviews don think anyone should be having this much weight on their head even if it doesn bother them 
0,nuthin
1,this is jbl speaker so mean it is great quality there are many other speakers in the same price range that do not compete in quality or sound 
0,my first internal battery mouse liked the ergonomics but the charging was more frequent than would have liked the mouse was thrown in landfill mere months old because the wheel broke mouse not really going to miss you 
1,excellent sound
0,the laser is broken it jumps everywhere on the screen 
1,this is my second headset from bengoo love this sound is amazing and it looks super cool
1,did not realize when ordering that was ordering the same headset currently had it was gift before and really liked it and was upset that the cord had finally messed up and was no longer working correctly after some time using it found great deal for this one online and ordered it within days it was delivered already was very excited when realized it was the exact headset had been using before because loved it they work great are very comfortable have led light option easy controls and was great price as well would definitely recommend and would absolutely purchase again in the future 
1,this item is perfect for my husbands warzone game we love the mute option as well 
1,this product was very good and was great for gaming it came within one day of purchase and has good sound and good mic it has really nice pads around the ears and head to make it comfy and it looks really cool overall great product 
0,when some essential combination of key press it does not work this keyboard is useless
0,could be brighter only star due to inadequate user guide 
0,really
0,this product is piece of junk it does not work 
1,i got these for my step daughter she really likes them lot they are very comfortable and she says she been able to wear them for up to hrs with no issues 
1,after one full charge and the charge running out the battery won hold charge ll leave it plugged in for hours to charge only for it to die in about minutes of use definitely better products out there 
1,it feels cheap compared to my corsair it is just average sorry but am spoiled the only thing it has going for it is that it is wireless which is why will keep and use it the keyboard seems to be smaller am touch typist and my fingers feel cramped think it impedes my typing speed pretty good at above wpm don use it for gaming write voraciously and need keyboard that has quick response this one is ummmmm just okay 
1,the mouse worked for couple weeks but now the scroller just spins freeling and won scroll one through pages really disappointed because the mouse as whole worked pretty well for the last couple weeks hopefully just defective model will be returning the item and seeking replacement
1,i wasn expecting much from the gaming headset got from bengoo but they far exceeded my expectations like them better than previous gaming headphones purchased off amazon sound great and look great as well 
1,my gf loves her headset
1,i use it for gaming laptop and it honestly amazing easy to set up and great for the price 
0,no quality
0,i was attracted to this keyboard due mainly to the colorful lighting but after couple of days of use just couldn handle the noise the spacebar made if you use the spacebar lot for gaming you may become distracted and irritated think liked the idea of this keyboard better than the keyboard itself 
1,comfortable good sound quality went with the purple color and love the way it looks happy with my purchase
0,if you had that ve never ending need to have wireless mouse that has led colors on it that needs to be constantly plugged in for it to work then this is for you the charge on it will last approximately hours before it dead if you turn off the pretty lights then maybe it will last hours really not functional wireless mouse don buy it 
1,great sound and great battery life
1,great headphones my kid loves it
0,i charged the mouse overnight and it died within minutes of using it tried to charge it again and it will not charge threw out the box so can return it 
0, its an okay mouse disliked how cheap it appears because the rose gold color got was light spray on top and there are distinct areas where the light is shining through also disappointed that when turn the color changing led off but keep the mouse on that its constant red color which was not in the description it also goes into sleep mode quickly and takes good seconds to reconnect which is frustrating 
